service_id,visit_date,invoice_number,tag_number,service_advisor_id,vehicle_make,vehicle_model,vehicle_year,milage_in,milage_out,request_opened,request_ready,labor_total,parts_total,gas_oil_lube_total,sublet_total,misc_charges,adjustments,sales_tax,total_payment_due,notes,discount,entry_date
SR20250425_001,4/25/2025,773732,TS231,2907,SUBARU,CROSSTREK,24,6917,6917,4/25/2025 9:22:00,4/25/2025 10:18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1/24/2026
SR20250915_002,9/15/2025,806333,TS526,3324,SUBARU,CROSSTREK,24,14277,14277,9/15/2025 7:39:00,9/15/2025 9:01,36.44,33.91,0.00,0.00,3.64,10.00,5.00,68.99,"TIRE TREAD: 8/32nds
FRONT BRAKE PADS: 8 mm
REAR BRAKE PADS: 6 mm",,1/24/2026
SR20260124_003,1/24/2026,835084,TS558,2777,SUBARU,CROSSTREK,24,21001,21001,1/24/2026 13:25:00,1/24/2026 14:42,20.00,33.91,0.00,0.00,2.00,10.00,3.78,49.69,"TIRE TREAD: 7/32nds
FRONT BRAKE PADS: 8 mm
REAR BRAKE PADS: 6 mm",FRIENDS_AND_FAMILY,1/24/2026
SR20260601_004,6/1/2026,862630,TS898,3468,SUBARU,CROSSTREK,24,26796,26797,6/1/2026 8:01:00,6/1/2026 9:31,56.04,33.91,0.00,0.00,5.60,0.00,6.45,102.00,"TIRE TREAD: 6/32nds
FRONT BRAKE PADS: 8 mm
REAR BRAKE PADS: 6 mm",,6/3/2026
